delay,training steps,traffic intensity,tm
1.639,2K,37.5%,375_25
1.11,2K,37.5%,375_26
2.325,2K,37.5%,375_27
2.14,2K,37.5%,375_28
1.34,2K,37.5%,375_29
2.603,2K,37.5%,375_30
1.8,2K,37.5%,375_31
1.357,2K,37.5%,375_32
1.584,2K,37.5%,375_33
2.11,2K,37.5%,375_34
4.462,2K,37.5%,375_35
1.579,2K,37.5%,375_36
1.868,2K,37.5%,375_37
2.259,2K,37.5%,375_38
1.947,2K,37.5%,375_39
2.045,2K,37.5%,375_40
1.701,2K,37.5%,375_41
1.17,2K,37.5%,375_42
1.501,2K,37.5%,375_43
1.822,2K,37.5%,375_44
1.338,2K,37.5%,375_45
1.892,2K,37.5%,375_46
1.752,2K,37.5%,375_47
1.853,2K,37.5%,375_48
1.376,2K,37.5%,375_49
1.803,2K,37.5%,375_50
2.143,2K,37.5%,375_51
1.434,2K,37.5%,375_52
1.604,2K,37.5%,375_53
2.992,2K,37.5%,375_54
1.889,2K,37.5%,375_55
2.277,2K,37.5%,375_56
1.631,2K,37.5%,375_57
2.279,2K,37.5%,375_58
1.533,2K,37.5%,375_59
1.703,2K,37.5%,375_60
2.17,2K,37.5%,375_61
2.158,2K,37.5%,375_62
2.263,2K,37.5%,375_63
1.387,2K,37.5%,375_64
1.555,2K,37.5%,375_65
0.954,2K,37.5%,375_66
0.855,2K,37.5%,375_67
1.837,2K,37.5%,375_68
2.567,2K,37.5%,375_69
1.44,2K,37.5%,375_70
1.508,2K,37.5%,375_71
2.344,2K,37.5%,375_72
1.924,2K,37.5%,375_73
1.516,2K,37.5%,375_74
1.257,2K,37.5%,375_75
1.256,2K,37.5%,375_76
3.461,2K,37.5%,375_77
1.475,2K,37.5%,375_78
1.873,2K,37.5%,375_79
1.976,2K,37.5%,375_80
1.303,2K,37.5%,375_81
1.613,2K,37.5%,375_82
1.85,2K,37.5%,375_83
1.274,2K,37.5%,375_84
1.66,2K,37.5%,375_85
1.492,2K,37.5%,375_86
1.444,2K,37.5%,375_87
1.779,2K,37.5%,375_88
1.314,2K,37.5%,375_89
1.737,2K,37.5%,375_90
1.632,2K,37.5%,375_91
1.854,2K,37.5%,375_92
1.953,2K,37.5%,375_93
1.184,2K,37.5%,375_94
1.142,2K,37.5%,375_95
1.503,2K,37.5%,375_96
3.217,2K,37.5%,375_97
1.78,2K,37.5%,375_98
1.294,2K,37.5%,375_99
2.772,2K,50%,500_0
2.288,2K,50%,500_1
6.851,2K,50%,500_2
2.147,2K,50%,500_3
1.814,2K,50%,500_4
3.604,2K,50%,500_5
2.711,2K,50%,500_6
2.409,2K,50%,500_7
2.218,2K,50%,500_8
2.709,2K,50%,500_9
2.791,2K,50%,500_10
3.11,2K,50%,500_11
2.464,2K,50%,500_12
3.112,2K,50%,500_13
2.799,2K,50%,500_14
1.441,2K,50%,500_15
2.86,2K,50%,500_16
2.727,2K,50%,500_17
2.425,2K,50%,500_18
4.92,2K,50%,500_19
2.662,2K,50%,500_20
2.181,2K,50%,500_21
2.97,2K,50%,500_22
2.262,2K,50%,500_23
5.023,2K,50%,500_24
2.407,2K,50%,500_25
2.091,2K,50%,500_26
2.733,2K,50%,500_27
2.491,2K,50%,500_28
3.598,2K,50%,500_29
2.03,2K,50%,500_30
3.494,2K,50%,500_31
2.509,2K,50%,500_32
2.291,2K,50%,500_33
3.169,2K,50%,500_34
2.575,2K,50%,500_35
2.475,2K,50%,500_36
3.717,2K,50%,500_37
1.935,2K,50%,500_38
4.071,2K,50%,500_39
2.52,2K,50%,500_40
2.737,2K,50%,500_41
2.548,2K,50%,500_42
1.802,2K,50%,500_43
3.043,2K,50%,500_44
2.88,2K,50%,500_45
1.86,2K,50%,500_46
2.031,2K,50%,500_47
2.193,2K,50%,500_48
1.779,2K,50%,500_49
2.886,2K,50%,500_50
2.053,2K,50%,500_51
2.806,2K,50%,500_52
4.529,2K,50%,500_53
4.168,2K,50%,500_54
2.833,2K,50%,500_55
2.576,2K,50%,500_56
2.378,2K,50%,500_57
2.113,2K,50%,500_58
3.711,2K,50%,500_59
2.877,2K,50%,500_60
1.83,2K,50%,500_61
1.809,2K,50%,500_62
2.739,2K,50%,500_63
3.722,2K,50%,500_64
1.91,2K,50%,500_65
2.586,2K,50%,500_66
2.358,2K,50%,500_67
5.625,2K,50%,500_68
2.752,2K,50%,500_69
2.336,2K,50%,500_70
3.296,2K,50%,500_71
4.604,2K,50%,500_72
2.4,2K,50%,500_73
2.286,2K,50%,500_74
2.846,2K,50%,500_75
2.319,2K,50%,500_76
2.669,2K,50%,500_77
2.686,2K,50%,500_78
3.061,2K,50%,500_79
5.166,2K,50%,500_80
2.928,2K,50%,500_81
2.901,2K,50%,500_82
3.989,2K,50%,500_83
2.704,2K,50%,500_84
2.545,2K,50%,500_85
2.74,2K,50%,500_86
3.466,2K,50%,500_87
2.616,2K,50%,500_88
2.481,2K,50%,500_89
2.877,2K,50%,500_90
1.65,2K,50%,500_91
2.665,2K,50%,500_92
3.331,2K,50%,500_93
2.493,2K,50%,500_94
3.759,2K,50%,500_95
2.981,2K,50%,500_96
2.139,2K,50%,500_97
2.447,2K,50%,500_98
2.587,2K,50%,500_99
5.129,2K,62.5%,625_0
3.238,2K,62.5%,625_1
2.389,2K,62.5%,625_2
2.239,2K,62.5%,625_3
2.725,2K,62.5%,625_4
3.932,2K,62.5%,625_5
3.124,2K,62.5%,625_6
3.727,2K,62.5%,625_7
4.077,2K,62.5%,625_8
9.041,2K,62.5%,625_9
3.026,2K,62.5%,625_10
3.916,2K,62.5%,625_11
2.586,2K,62.5%,625_12
3.98,2K,62.5%,625_13
3.391,2K,62.5%,625_14
3.967,2K,62.5%,625_15
4.255,2K,62.5%,625_16
3.347,2K,62.5%,625_17
3.602,2K,62.5%,625_18
3.2,2K,62.5%,625_19
3.599,2K,62.5%,625_20
2.768,2K,62.5%,625_21
3.672,2K,62.5%,625_22
2.837,2K,62.5%,625_23
3.225,2K,62.5%,625_24
3.97,2K,62.5%,625_25
8.632,2K,62.5%,625_26
5.914,2K,62.5%,625_27
2.444,2K,62.5%,625_28
4.723,2K,62.5%,625_29
2.089,2K,62.5%,625_30
3.657,2K,62.5%,625_31
3.341,2K,62.5%,625_32
3.228,2K,62.5%,625_33
3.891,2K,62.5%,625_34
4.259,2K,62.5%,625_35
3.213,2K,62.5%,625_36
3.044,2K,62.5%,625_37
3.497,2K,62.5%,625_38
3.108,2K,62.5%,625_39
2.56,2K,62.5%,625_40
3.307,2K,62.5%,625_41
3.044,2K,62.5%,625_42
2.425,2K,62.5%,625_43
2.628,2K,62.5%,625_44
3.981,2K,62.5%,625_45
2.988,2K,62.5%,625_46
3.734,2K,62.5%,625_47
5.237,2K,62.5%,625_48
3.824,2K,62.5%,625_49
2.434,2K,62.5%,625_50
5.767,2K,62.5%,625_51
3.283,2K,62.5%,625_52
2.921,2K,62.5%,625_53
4.438,2K,62.5%,625_54
3.824,2K,62.5%,625_55
3.242,2K,62.5%,625_56
3.695,2K,62.5%,625_57
2.87,2K,62.5%,625_58
3.226,2K,62.5%,625_59
2.808,2K,62.5%,625_60
2.493,2K,62.5%,625_61
3.33,2K,62.5%,625_62
3.984,2K,62.5%,625_63
3.483,2K,62.5%,625_64
2.944,2K,62.5%,625_65
3.229,2K,62.5%,625_66
3.627,2K,62.5%,625_67
4.189,2K,62.5%,625_68
3.37,2K,62.5%,625_69
3.066,2K,62.5%,625_70
4.428,2K,62.5%,625_71
2.936,2K,62.5%,625_72
4.186,2K,62.5%,625_73
2.942,2K,62.5%,625_74
3.025,2K,62.5%,625_75
3.985,2K,62.5%,625_76
3.302,2K,62.5%,625_77
3.494,2K,62.5%,625_78
3.567,2K,62.5%,625_79
3.489,2K,62.5%,625_80
3.407,2K,62.5%,625_81
3.264,2K,62.5%,625_82
3.488,2K,62.5%,625_83
3.277,2K,62.5%,625_84
3.633,2K,62.5%,625_85
8.293,2K,62.5%,625_86
2.758,2K,62.5%,625_87
4.539,2K,62.5%,625_88
2.939,2K,62.5%,625_89
5.068,2K,62.5%,625_90
3.394,2K,62.5%,625_91
2.873,2K,62.5%,625_92
3.608,2K,62.5%,625_93
3.218,2K,62.5%,625_94
3.386,2K,62.5%,625_95
3.753,2K,62.5%,625_96
3.286,2K,62.5%,625_97
3.832,2K,62.5%,625_98
3.298,2K,62.5%,625_99
3.212,2K,75%,750_0
4.602,2K,75%,750_1
3.646,2K,75%,750_2
5.743,2K,75%,750_3
5.7,2K,75%,750_4
3.082,2K,75%,750_5
4.52,2K,75%,750_6
3.792,2K,75%,750_7
3.563,2K,75%,750_8
3.952,2K,75%,750_9
3.821,2K,75%,750_10
3.855,2K,75%,750_11
5.215,2K,75%,750_12
3.3,2K,75%,750_13
4.669,2K,75%,750_14
7.436,2K,75%,750_15
4.073,2K,75%,750_16
6.464,2K,75%,750_17
5.335,2K,75%,750_18
6.519,2K,75%,750_19
3.971,2K,75%,750_20
3.727,2K,75%,750_21
4.503,2K,75%,750_22
3.867,2K,75%,750_23
3.762,2K,75%,750_24
3.451,2K,75%,750_25
3.562,2K,75%,750_26
3.611,2K,75%,750_27
4.038,2K,75%,750_28
4.401,2K,75%,750_29
4.136,2K,75%,750_30
3.881,2K,75%,750_31
4.256,2K,75%,750_32
3.619,2K,75%,750_33
3.869,2K,75%,750_34
6.443,2K,75%,750_35
3.673,2K,75%,750_36
5.879,2K,75%,750_37
4.354,2K,75%,750_38
3.562,2K,75%,750_39
4.207,2K,75%,750_40
5.614,2K,75%,750_41
3.787,2K,75%,750_42
7.7,2K,75%,750_43
4.197,2K,75%,750_44
3.49,2K,75%,750_45
4.916,2K,75%,750_46
3.782,2K,75%,750_47
4.589,2K,75%,750_48
4.093,2K,75%,750_49
3.257,2K,75%,750_50
3.87,2K,75%,750_51
4.391,2K,75%,750_52
3.661,2K,75%,750_53
7.293,2K,75%,750_54
3.729,2K,75%,750_55
4.835,2K,75%,750_56
3.966,2K,75%,750_57
3.43,2K,75%,750_58
4.814,2K,75%,750_59
3.021,2K,75%,750_60
6.845,2K,75%,750_61
3.595,2K,75%,750_62
5.442,2K,75%,750_63
3.293,2K,75%,750_64
3.166,2K,75%,750_65
4.038,2K,75%,750_66
4.981,2K,75%,750_67
5.224,2K,75%,750_68
3.175,2K,75%,750_69
3.54,2K,75%,750_70
4.646,2K,75%,750_71
4.218,2K,75%,750_72
3.905,2K,75%,750_73
4.177,2K,75%,750_74
6.298,2K,75%,750_75
7.597,2K,75%,750_76
5.01,2K,75%,750_77
2.474,2K,75%,750_78
4.452,2K,75%,750_79
4.864,2K,75%,750_80
5.268,2K,75%,750_81
4.158,2K,75%,750_82
4.858,2K,75%,750_83
4.636,2K,75%,750_84
4.939,2K,75%,750_85
4.185,2K,75%,750_86
3.021,2K,75%,750_87
9.247,2K,75%,750_88
4.248,2K,75%,750_89
4.687,2K,75%,750_90
3.857,2K,75%,750_91
3.935,2K,75%,750_92
8.599,2K,75%,750_93
3.432,2K,75%,750_94
8.61,2K,75%,750_95
2.874,2K,75%,750_96
4.555,2K,75%,750_97
4.454,2K,75%,750_98
4.21,2K,75%,750_99
4.845,2K,87.5%,875_0
4.804,2K,87.5%,875_1
4.367,2K,87.5%,875_2
4.553,2K,87.5%,875_3
6.281,2K,87.5%,875_4
4.436,2K,87.5%,875_5
4.234,2K,87.5%,875_6
5.701,2K,87.5%,875_7
4.542,2K,87.5%,875_8
6.411,2K,87.5%,875_9
4.58,2K,87.5%,875_10
4.548,2K,87.5%,875_11
3.848,2K,87.5%,875_12
3.508,2K,87.5%,875_13
4.588,2K,87.5%,875_14
4.062,2K,87.5%,875_15
6.066,2K,87.5%,875_16
4.797,2K,87.5%,875_17
3.94,2K,87.5%,875_18
4.032,2K,87.5%,875_19
3.651,2K,87.5%,875_20
5.103,2K,87.5%,875_21
3.299,2K,87.5%,875_22
5.733,2K,87.5%,875_23
4.083,2K,87.5%,875_24
5.721,2K,87.5%,875_25
4.122,2K,87.5%,875_26
3.608,2K,87.5%,875_27
4.722,2K,87.5%,875_28
4.336,2K,87.5%,875_29
4.174,2K,87.5%,875_30
4.02,2K,87.5%,875_31
3.151,2K,87.5%,875_32
3.373,2K,87.5%,875_33
4.974,2K,87.5%,875_34
4.323,2K,87.5%,875_35
12.811,2K,87.5%,875_36
4.436,2K,87.5%,875_37
6.962,2K,87.5%,875_38
3.401,2K,87.5%,875_39
3.767,2K,87.5%,875_40
8.645,2K,87.5%,875_41
5.024,2K,87.5%,875_42
3.933,2K,87.5%,875_43
4.444,2K,87.5%,875_44
3.966,2K,87.5%,875_45
4.741,2K,87.5%,875_46
5.41,2K,87.5%,875_47
3.482,2K,87.5%,875_48
4.378,2K,87.5%,875_49
4.281,2K,87.5%,875_50
7.168,2K,87.5%,875_51
5.387,2K,87.5%,875_52
5.263,2K,87.5%,875_53
3.947,2K,87.5%,875_54
5.639,2K,87.5%,875_55
4.239,2K,87.5%,875_56
4.27,2K,87.5%,875_57
4.091,2K,87.5%,875_58
4.285,2K,87.5%,875_59
4.487,2K,87.5%,875_60
3.881,2K,87.5%,875_61
4.354,2K,87.5%,875_62
3.472,2K,87.5%,875_63
4.636,2K,87.5%,875_64
3.78,2K,87.5%,875_65
8.819,2K,87.5%,875_66
8.091,2K,87.5%,875_67
6.181,2K,87.5%,875_68
4.268,2K,87.5%,875_69
4.313,2K,87.5%,875_70
4.763,2K,87.5%,875_71
2.763,2K,87.5%,875_72
5.285,2K,87.5%,875_73
7.68,2K,87.5%,875_74
6.338,2K,87.5%,875_75
4.152,2K,87.5%,875_76
3.71,2K,87.5%,875_77
4.459,2K,87.5%,875_78
5.576,2K,87.5%,875_79
9.456,2K,87.5%,875_80
4.966,2K,87.5%,875_81
4.088,2K,87.5%,875_82
4.674,2K,87.5%,875_83
4.467,2K,87.5%,875_84
3.894,2K,87.5%,875_85
3.872,2K,87.5%,875_86
3.673,2K,87.5%,875_87
6.637,2K,87.5%,875_88
3.886,2K,87.5%,875_89
7.063,2K,87.5%,875_90
3.599,2K,87.5%,875_91
5.017,2K,87.5%,875_92
2.971,2K,87.5%,875_93
4.009,2K,87.5%,875_94
4.301,2K,87.5%,875_95
3.978,2K,87.5%,875_96
5.251,2K,87.5%,875_97
5.159,2K,87.5%,875_98
5.285,2K,87.5%,875_99
3.556,2K,100%,1000_0
3.267,2K,100%,1000_1
6.256,2K,100%,1000_2
5.356,2K,100%,1000_3
4.048,2K,100%,1000_4
9.068,2K,100%,1000_5
5.293,2K,100%,1000_6
4.033,2K,100%,1000_7
5.668,2K,100%,1000_8
5.229,2K,100%,1000_9
4.145,2K,100%,1000_10
8.662,2K,100%,1000_11
4.404,2K,100%,1000_12
3.079,2K,100%,1000_13
9.564,2K,100%,1000_14
3.871,2K,100%,1000_15
4.963,2K,100%,1000_16
6.006,2K,100%,1000_17
7.438,2K,100%,1000_18
4.685,2K,100%,1000_19
9.958,2K,100%,1000_20
5.932,2K,100%,1000_21
6.186,2K,100%,1000_22
4.574,2K,100%,1000_23
4.792,2K,100%,1000_24
5.204,2K,100%,1000_25
5.498,2K,100%,1000_26
5.232,2K,100%,1000_27
4.715,2K,100%,1000_28
7.136,2K,100%,1000_29
9.54,2K,100%,1000_30
4.29,2K,100%,1000_31
4.955,2K,100%,1000_32
5.351,2K,100%,1000_33
5.306,2K,100%,1000_34
4.92,2K,100%,1000_35
9.295,2K,100%,1000_36
4.66,2K,100%,1000_37
4.534,2K,100%,1000_38
5.528,2K,100%,1000_39
4.632,2K,100%,1000_40
10.211,2K,100%,1000_41
5.062,2K,100%,1000_42
4.978,2K,100%,1000_43
4.539,2K,100%,1000_44
4.616,2K,100%,1000_45
5.509,2K,100%,1000_46
4.976,2K,100%,1000_47
4.799,2K,100%,1000_48
4.639,2K,100%,1000_49
5.026,2K,100%,1000_50
4.663,2K,100%,1000_51
5.724,2K,100%,1000_52
5.116,2K,100%,1000_53
4.842,2K,100%,1000_54
4.954,2K,100%,1000_55
4.302,2K,100%,1000_56
7.458,2K,100%,1000_57
4.981,2K,100%,1000_58
4.922,2K,100%,1000_59
4.353,2K,100%,1000_60
9.063,2K,100%,1000_61
4.529,2K,100%,1000_62
5.234,2K,100%,1000_63
7.995,2K,100%,1000_64
5.893,2K,100%,1000_65
6.388,2K,100%,1000_66
5.654,2K,100%,1000_67
3.67,2K,100%,1000_68
4.675,2K,100%,1000_69
4.822,2K,100%,1000_70
3.909,2K,100%,1000_71
3.938,2K,100%,1000_72
4.585,2K,100%,1000_73
4.825,2K,100%,1000_74
6.694,2K,100%,1000_75
3.53,2K,100%,1000_76
3.68,2K,100%,1000_77
4.549,2K,100%,1000_78
4.022,2K,100%,1000_79
5.051,2K,100%,1000_80
4.883,2K,100%,1000_81
4.829,2K,100%,1000_82
5.264,2K,100%,1000_83
4.264,2K,100%,1000_84
4.473,2K,100%,1000_85
5.878,2K,100%,1000_86
4.56,2K,100%,1000_87
7.09,2K,100%,1000_88
6.266,2K,100%,1000_89
4.905,2K,100%,1000_90
5.777,2K,100%,1000_91
4.888,2K,100%,1000_92
5.573,2K,100%,1000_93
7.291,2K,100%,1000_94
5.041,2K,100%,1000_95
4.626,2K,100%,1000_96
4.227,2K,100%,1000_97
7.1,2K,100%,1000_98
3.628,2K,100%,1000_99
4.275,2K,112.5%,1125_0
5.479,2K,112.5%,1125_1
4.809,2K,112.5%,1125_2
5.972,2K,112.5%,1125_3
5.099,2K,112.5%,1125_4
4.975,2K,112.5%,1125_5
4.931,2K,112.5%,1125_6
6.6,2K,112.5%,1125_7
7.302,2K,112.5%,1125_8
5.379,2K,112.5%,1125_9
7.709,2K,112.5%,1125_10
6.147,2K,112.5%,1125_11
3.688,2K,112.5%,1125_12
16.497,2K,112.5%,1125_13
4.818,2K,112.5%,1125_14
4.796,2K,112.5%,1125_15
4.562,2K,112.5%,1125_16
5.547,2K,112.5%,1125_17
6.579,2K,112.5%,1125_18
4.589,2K,112.5%,1125_19
4.579,2K,112.5%,1125_20
3.492,2K,112.5%,1125_21
4.584,2K,112.5%,1125_22
4.751,2K,112.5%,1125_23
4.9,2K,112.5%,1125_24
4.678,2K,112.5%,1125_25
3.957,2K,112.5%,1125_26
7.082,2K,112.5%,1125_27
4.52,2K,112.5%,1125_28
8.068,2K,112.5%,1125_29
4.444,2K,112.5%,1125_30
8.473,2K,112.5%,1125_31
7.297,2K,112.5%,1125_32
4.803,2K,112.5%,1125_33
5.464,2K,112.5%,1125_34
5.261,2K,112.5%,1125_35
3.647,2K,112.5%,1125_36
4.579,2K,112.5%,1125_37
6.028,2K,112.5%,1125_38
6.389,2K,112.5%,1125_39
4.742,2K,112.5%,1125_40
5.862,2K,112.5%,1125_41
5.631,2K,112.5%,1125_42
6.548,2K,112.5%,1125_43
5.546,2K,112.5%,1125_44
4.571,2K,112.5%,1125_45
7.133,2K,112.5%,1125_46
5.088,2K,112.5%,1125_47
6.186,2K,112.5%,1125_48
5.27,2K,112.5%,1125_49
8.194,2K,112.5%,1125_50
5.458,2K,112.5%,1125_51
5.106,2K,112.5%,1125_52
5.322,2K,112.5%,1125_53
3.898,2K,112.5%,1125_54
18.69,2K,112.5%,1125_55
3.789,2K,112.5%,1125_56
6.307,2K,112.5%,1125_57
5.024,2K,112.5%,1125_58
5.982,2K,112.5%,1125_59
5.887,2K,112.5%,1125_60
4.498,2K,112.5%,1125_61
5.843,2K,112.5%,1125_62
5.671,2K,112.5%,1125_63
5.037,2K,112.5%,1125_64
6.255,2K,112.5%,1125_65
5.165,2K,112.5%,1125_66
5.169,2K,112.5%,1125_67
5.763,2K,112.5%,1125_68
4.896,2K,112.5%,1125_69
5.653,2K,112.5%,1125_70
5.894,2K,112.5%,1125_71
9.065,2K,112.5%,1125_72
4.787,2K,112.5%,1125_73
4.965,2K,112.5%,1125_74
5.583,2K,112.5%,1125_75
3.853,2K,112.5%,1125_76
7.77,2K,112.5%,1125_77
6.732,2K,112.5%,1125_78
4.323,2K,112.5%,1125_79
5.252,2K,112.5%,1125_80
5.782,2K,112.5%,1125_81
4.969,2K,112.5%,1125_82
4.892,2K,112.5%,1125_83
5.849,2K,112.5%,1125_84
5.765,2K,112.5%,1125_85
11.536,2K,112.5%,1125_86
5.697,2K,112.5%,1125_87
6.335,2K,112.5%,1125_88
7.959,2K,112.5%,1125_89
5.19,2K,112.5%,1125_90
7.076,2K,112.5%,1125_91
4.6,2K,112.5%,1125_92
4.834,2K,112.5%,1125_93
3.986,2K,112.5%,1125_94
4.604,2K,112.5%,1125_95
5.085,2K,112.5%,1125_96
6.171,2K,112.5%,1125_97
5.52,2K,112.5%,1125_98
8.536,2K,112.5%,1125_99
6.89,2K,125%,1250_0
5.522,2K,125%,1250_1
5.266,2K,125%,1250_2
6.268,2K,125%,1250_3
6.141,2K,125%,1250_4
5.363,2K,125%,1250_5
4.757,2K,125%,1250_6
7.323,2K,125%,1250_7
7.538,2K,125%,1250_8
6.444,2K,125%,1250_9
6.057,2K,125%,1250_10
